,Word,Embeddings similarity,Neighbours similarity
391,religious,0.604131012394,0.243097728091
392,extends,0.603955940526,0.297406121709
393,seem,0.603666904698,0.546945158413
394,treaty,0.603605950611,0.295956226413
395,thank,0.603604178279,0.470937398648
396,cleaned,0.603580331243,0.319102824925
397,composer,0.60356485347,0.491265013912
398,forests,0.603344702455,0.243331924979
399,suitable,0.603286562707,0.427550766536
400,priests,0.603062056228,0.449578432287
401,nostri,0.602983994315,0.240385765237
402,decide,0.602920515837,0.449317297361
403,valleys,0.602793627109,0.389242779695
404,lasting,0.60278567575,0.400712912317
405,individuals,0.602721142379,0.311566540743
406,suddenly,0.602507304087,0.345166278408
407,confronted,0.602489875626,0.499194883867
408,anybody,0.602435751136,0.555954427222
409,height,0.602084339138,0.478674667351
410,liked,0.602035878262,0.447331079614
411,different,0.601965187674,0.549530794711
412,roscommon,0.601853006581,0.042803239532
413,drama,0.601802626306,0.410447293573
414,varies,0.601714538953,0.552800632193
415,whom,0.601596696369,0.338256504851
416,encourage,0.601570008134,0.432814311013
417,shoulders,0.601364553529,0.356358939534
418,narrow,0.601363063185,0.333795916841
419,large,0.601315630595,0.577083957951
420,creatures,0.601304546629,0.413566088965
421,symbol,0.601303198388,0.315592138055
422,pause,0.601128856991,0.439773496783
423,hotel,0.600973844151,0.306775620592
424,fifteenth,0.600942890781,0.943343765325
425,into,0.600875976314,0.382141130517
426,prosperity,0.600803654778,0.409499139349
427,selling,0.6008000101,0.478755572638
428,churches,0.600786123314,0.372160294732
429,cultivation,0.600766929066,0.390567376875
430,temperatures,0.600678031777,0.358967739821
431,defeat,0.600659516693,0.24055979256
432,rules,0.600619586387,0.329175984371
433,sailed,0.600559962445,0.240508201574
434,owing,0.600529601781,0.521983846436
435,soil,0.600464263664,0.19293828128
436,mentioned,0.60042733702,0.467357130809
437,poste,0.600413496644,0.0530529344604
438,serve,0.600283258503,0.462247288694
439,scrope,0.600282274691,0.0408116830785
440,sur,0.600185981723,0.0944323093844
441,bellay,0.600130426993,0.0
442,aspirations,0.60010463066,0.587721612366
443,cells,0.600082452507,0.111054487944
444,maintained,0.600050411651,0.401750685291
445,promote,0.599981732164,0.409911972314
446,glad,0.59994269985,0.506421171605
447,unwilling,0.599891930456,0.687378601608
448,seas,0.599531717407,0.453609481116
449,contained,0.599501313664,0.510194486718
450,guests,0.599465786142,0.498472541174
451,scriptures,0.59931779139,0.522063190542
452,surrounded,0.599226846937,0.243472358406
453,danger,0.599212280456,0.431645984194
454,colonel,0.599202185876,0.284950223689
455,difference,0.599136669599,0.420920536019
456,thou,0.599096082593,0.462430946644
457,funds,0.599077646349,0.397989200838
458,looking,0.598943370445,0.499710423453
459,battle,0.598888326682,0.267601586755
460,safely,0.598862677937,0.367376011846
461,earlier,0.598767501923,0.249445450344
462,final,0.598410420075,0.327207703377
463,convicted,0.598406243495,0.49749843337
464,married,0.598237518166,0.509902334731
465,enjoying,0.598107581972,0.422368417176
466,remainder,0.597987224024,0.41218474272
467,bowring,0.597967864678,0.021804090076
468,sit,0.597949610121,0.554944347559
469,constitution,0.597934089042,0.401066038347
470,seul,0.597877082842,0.0
471,quel,0.597842665188,0.0608557997531
472,marry,0.597770358546,0.366142713064
473,sir,0.597716392244,0.0529358355941
474,maintain,0.597614115594,0.470298864048
475,influenced,0.597592929767,0.359697819069
476,gazed,0.597546993441,0.472605500779
477,community,0.597419303019,0.300934408314
478,company,0.597365319143,0.207321326066
479,principes,0.597328830224,0.0
480,forces,0.597221775739,0.467174421259
481,extending,0.597086571853,0.422432900218
482,spend,0.596928513854,0.633062723004
483,things,0.596902074843,0.479585109791
484,college,0.596780296821,0.206243317955
485,metal,0.596779481761,0.341178626774
486,manufacture,0.59677241848,0.254954606394
487,principles,0.596675414476,0.379886257666
488,schools,0.596637241018,0.399903680285
489,away,0.596575157929,0.278469781894
490,kill,0.596553786868,0.383805572285
491,down,0.596538474614,0.249571463684
492,obtain,0.596406788301,0.330369334492
493,day,0.596384981946,0.596911841286
494,plenty,0.596343465676,0.286385152157
495,corresponds,0.596322254528,0.32887372814
496,pounds,0.596269323667,0.587850560347
497,thirteenth,0.596245610125,0.914375654481
498,meaning,0.59623650224,0.469102950021
499,sold,0.595903283299,0.58039711906
500,hatred,0.595858062644,0.459783049746
501,whence,0.59583483725,0.276349484686
502,patient,0.595610626196,0.096212337577
503,hundreds,0.595560729012,0.698001536318
504,inches,0.595560670496,0.513167988907
505,himself,0.595550628746,0.523431318674
506,language,0.595515472548,0.317721014605
507,conclusions,0.595484936723,0.333754071429
508,legislature,0.595433677957,0.516277334084
509,city,0.595273041459,0.397358826634
510,land,0.595225043239,0.297931693923
511,new,0.595213212391,0.0870985643615
512,causing,0.595196938098,0.347707983921
513,elected,0.595187494944,0.516605679097
514,vote,0.595137192418,0.601296443748
515,même,0.595133322501,0.0
516,shall,0.595115854285,0.353634088243
517,intention,0.595088304011,0.351930565377
518,northern,0.595040389982,0.51625051206
519,becomes,0.594995452013,0.514394230545
520,listening,0.594935014784,0.548921850475
521,successor,0.594934533075,0.356102323921
522,manner,0.59487286657,0.307702814268
523,reply,0.594681436304,0.431115352391
524,thanks,0.594649319219,0.557486523173
525,yards,0.594647872073,0.613137253748
526,live,0.59463743839,0.322200741894
527,willing,0.594624495784,0.564075297645
528,phrase,0.594609434366,0.511182302342
529,allies,0.594397959176,0.191932734334
530,percentage,0.594374163202,0.510654003498
531,hast,0.594286339473,0.468597211891
532,outskirts,0.594123249245,0.568914621313
533,used,0.594039872944,0.256551313885
534,compounds,0.593792452688,0.185869691084
535,school,0.593690344521,0.341438590436
536,evenings,0.593591161742,0.608332105389
537,gold,0.593386116138,0.525549004157
538,interesting,0.593270293662,0.479246280528
539,calculate,0.593120217524,0.426643209353
540,herself,0.593098625893,0.367125643606
541,king,0.593081862473,0.26777120954
542,required,0.59304106181,0.422205256795
543,can,0.592993472584,0.540429123987
544,intensity,0.592766697065,0.272111373064
545,largest,0.5927595293,0.500856049533
546,greek,0.592329047129,0.318792027692
547,edge,0.592261998971,0.181751798133
548,rivers,0.592222802811,0.582251152634
549,derived,0.592219401523,0.286075472343
550,haired,0.592136269148,0.344659435754
551,fundamental,0.592123320734,0.263791828769
552,visit,0.59210213041,0.480429918544
553,replied,0.592095695653,0.278600395954
554,plaintiff,0.591983801928,0.625778409324
555,they,0.591927398329,0.55154602798
556,corn,0.591907152227,0.454172779426
557,mihi,0.591846489169,0.333565772704
558,proportion,0.591780833708,0.495018378121
559,marked,0.591777476997,0.331297620458
560,patients,0.591757830772,0.10110677393
561,calm,0.591731698074,0.218537863467
562,efficiency,0.591711775087,0.132468207801
563,defendants,0.591711682987,0.594957618409
564,stimulation,0.591704108381,0.203032016048
565,velocity,0.591668792933,0.331578545349
566,dared,0.591662820112,0.334640735543
567,sing,0.591659949786,0.369106672976
568,convenient,0.591547485416,0.458441848155
569,establishment,0.59154056167,0.396077671979
570,enjoyed,0.591474861541,0.456195048219
571,tired,0.591352329345,0.350862672214
572,happiness,0.591313882265,0.452692714342
573,floor,0.591262374925,0.28141427712
574,someone,0.591125717875,0.649174382712
575,much,0.591118887791,0.446542830189
576,near,0.591090637726,0.402894065709
577,respective,0.591005629208,0.221931733352
578,principle,0.590909878678,0.24340260234
579,spedding,0.590898532439,0.0
580,deposits,0.590783709374,0.334087326492
581,suit,0.590771376385,0.227216884134
582,devote,0.590763170153,0.526627277222
583,broken,0.590676882202,0.373319418176
584,sun,0.590501759408,0.505267799824
585,toujours,0.590478642816,0.0
586,discussion,0.590404172028,0.406951199679
587,situated,0.590240653377,0.319753584601
588,astley,0.590180200003,0.0344718133348
589,play,0.590166061665,0.419050273603
590,differ,0.590082549235,0.608595032691
591,tapioca,0.590052958857,0.0478677132623
592,peoples,0.590050076271,0.249481358724
593,recent,0.589934633359,0.386249481207
594,dollars,0.589912551244,0.581960717149
595,owned,0.589869739308,0.467963317864
596,société,0.589844466219,0.0
597,doctrines,0.589794900017,0.31573752336
598,attempted,0.589757671496,0.612354263414
599,enough,0.589742064074,0.517396638898
600,fight,0.589558027946,0.432237127141
601,influential,0.589424751626,0.408894569689
602,night,0.58929237863,0.562458565959
603,sigurd,0.589286300086,0.0185800772719
604,province,0.58921749557,0.197806127097
605,shores,0.589215754731,0.379502492182
606,became,0.58917632563,0.485450293334
607,girls,0.589139017613,0.505548835742
608,omnis,0.589125827132,0.346595571003
609,influence,0.589103776079,0.54670299644
610,regulations,0.589029595727,0.369040572335
611,sorry,0.589018643444,0.336273595665
612,eighty,0.589011108053,0.811931303711
613,there,0.588998292896,0.528988691749
614,shown,0.588978897995,0.488852249056
615,law,0.588964463995,0.326962508214
616,corte,0.588936736829,0.0204595389859
617,than,0.588815813054,0.573931401804
618,needs,0.588780804203,0.472888461837
619,series,0.588750708454,0.173278587081
620,dugdale,0.588736506547,0.0
621,une,0.588657305346,0.0
622,house,0.588652073557,0.461491812278
623,contre,0.588605985949,0.0
624,plantains,0.588595283696,0.149021354427
625,audience,0.588518619497,0.386599233425
626,seems,0.58847270124,0.69995257471
627,profits,0.588469677311,0.534571043119
628,dorsal,0.588437625266,0.191589086111
629,estimated,0.588339733971,0.51148872515
630,lack,0.588321639758,0.389479071025
631,provision,0.588156995536,0.395489634001
632,frequent,0.58812699506,0.311966827129
633,boats,0.588078424465,0.359269819765
634,handkerchief,0.588070293064,0.0993170226125
635,participate,0.587952737367,0.306142633705
636,theway,0.58787766926,0.0
637,back,0.587832524293,0.316279409339
638,causes,0.587811111012,0.307346738794
639,warmth,0.5877743238,0.194472149656
640,younger,0.587772432911,0.724297012444
641,supplied,0.587766115221,0.410375559756
642,lived,0.58774714612,0.226854872076
643,doors,0.587735992304,0.317414804932
644,independence,0.587654685493,0.274772053337
645,beginning,0.587544221502,0.501426346911
646,enemies,0.587429880456,0.368443492615
647,highest,0.587239076152,0.3884711953
648,arising,0.587201800523,0.369292925703
649,resigned,0.587183246427,0.362501854221
650,diameter,0.58711486272,0.4775174029
651,occasion,0.587103816118,0.487790886915
652,smiled,0.587034993976,0.316096883703
653,strength,0.586967476326,0.399496196489
654,teach,0.58695351383,0.73002487875
655,liable,0.586948711599,0.421600835082
656,captain,0.586937331142,0.267359290311
657,forty,0.586924621411,0.765427631228
658,buying,0.586884709873,0.490533357065
659,south,0.586865293134,0.473204885411
660,mediterranean,0.586834686947,0.45023489617
661,determining,0.586774365441,0.377893401326
662,london,0.586769781267,0.0164571338122
663,equivalent,0.586744794239,0.259621807319
664,minister,0.586732475907,0.254445586944
665,restrict,0.58669214034,0.551628050416
666,york,0.586673779528,0.0421545451854
667,peuples,0.586641226173,0.0
668,christians,0.586627784429,0.317730534627
669,teaching,0.586533808538,0.363030098773
670,consists,0.586497760375,0.295471518295
671,third,0.586493016736,0.80020841348
672,rode,0.586424805766,0.363503984042
673,pity,0.586394793676,0.483169578464
674,intended,0.586264364433,0.42972501831
675,divine,0.586051631596,0.407728700146
676,cathedral,0.585926444718,0.318517573581
677,true,0.585819757945,0.312562550315
678,arises,0.585729973183,0.317573062006
679,hoped,0.585701137474,0.470261005979
680,misery,0.585683318021,0.374817620482
681,jurisdiction,0.585626433282,0.329953648504
682,been,0.585563797095,0.67940004099
683,followers,0.585395645236,0.333746046077
684,gazing,0.585332167386,0.460899660347
685,sister,0.585316435638,0.723069063284
686,taxes,0.585315410945,0.401402722584
687,amid,0.585295376165,0.209288890774
688,startled,0.585176764786,0.524375934994
689,whispered,0.585110364587,0.322125385549
690,classes,0.585036379933,0.423727601485
691,contractor,0.585028809607,0.484209451159
692,pair,0.585013808414,0.378419883748
693,george,0.584957004372,0.0299816730213
694,prosperous,0.584924716409,0.436274770677
695,hands,0.584702470664,0.431657960007
696,has,0.584656704977,0.583706792088
697,till,0.584595451094,0.46301773748
698,die,0.584593608804,0.0
699,senate,0.584593506406,0.381345270528
700,maintaining,0.58451512593,0.474293156163
701,boat,0.584509195079,0.477063429336
702,follow,0.584358185918,0.218835524779
703,position,0.584351204249,0.224041619127
704,testament,0.584273165602,0.368294859984
705,armies,0.584259098731,0.454851514102
706,finished,0.584208157156,0.348304723717
707,conditions,0.584135211239,0.394797259857
708,look,0.584093042361,0.492845437836
709,y,0.584054536136,0.037151648706
710,judge,0.584028500921,0.44989729255
711,soluble,0.584001602921,0.106959772954
712,estate,0.583990466904,0.389756345166
713,hungry,0.583957792612,0.416050211536
714,country,0.583921860799,0.382463812382
715,photograph,0.583809747671,0.32613126266
716,britain,0.58380505039,0.557644192096
717,efforts,0.583792372199,0.449964409489
718,portuguese,0.583677610869,0.480203280811
719,are,0.58348392686,0.39137320352
720,ally,0.583477694056,0.347128991755
721,vessel,0.583464623509,0.513774462203
722,does,0.583410238,0.545333419448
723,muscles,0.583365293259,0.233414187704
724,territory,0.583337290585,0.268004669968
725,separated,0.583179936424,0.424890121062
726,goods,0.583130975226,0.301579996158
727,zeal,0.582981055798,0.337478071681
